Age,  Saccharomyces, Schixosachararomyces, Saccharomyces mixed, Schixosacharomyces mixed
7.5,  1.63,              ,                 0.923,                0.371
15.0, 6.20,          1.27,                 3.082,                0.630
24.0, 10.97,             ,                 5.780,                1.220
31.5, 12.60,         2.33,                 9.910,                1.112
33.0, 12.90,             ,                 9.470,                1.225
44.0, 12.77,             ,                 10.570,               1.102
51.5, 12.90,         4.56,                 9.883,                0.961
